time,.data
2024/06/03/16:10:17.716145,37
2024/06/03/16:10:17.734121,37
2024/06/03/16:10:17.748774,37
2024/06/03/16:10:17.766880,37
2024/06/03/16:10:17.782771,37
2024/06/03/16:10:17.801033,37
2024/06/03/16:10:17.816797,37
2024/06/03/16:10:17.832873,37
2024/06/03/16:10:17.848923,37
2024/06/03/16:10:17.866612,37
2024/06/03/16:10:17.882083,37
2024/06/03/16:10:17.899840,37
2024/06/03/16:10:17.916117,37
2024/06/03/16:10:17.931300,37
2024/06/03/16:10:17.950953,37
2024/06/03/16:10:17.967478,37
2024/06/03/16:10:17.983485,37
2024/06/03/16:10:18.000246,37
2024/06/03/16:10:18.017428,37
2024/06/03/16:10:18.032613,37
2024/06/03/16:10:18.048827,37
2024/06/03/16:10:18.065793,37
2024/06/03/16:10:18.082384,37
2024/06/03/16:10:18.098684,37
2024/06/03/16:10:18.114689,37
2024/06/03/16:10:18.131653,37
2024/06/03/16:10:18.147664,37
2024/06/03/16:10:18.165008,37
2024/06/03/16:10:18.181345,37
2024/06/03/16:10:18.197503,37
2024/06/03/16:10:18.214310,37
2024/06/03/16:10:18.232034,37
2024/06/03/16:10:18.247939,37
2024/06/03/16:10:18.265090,37
2024/06/03/16:10:18.282193,37
2024/06/03/16:10:18.299058,37
2024/06/03/16:10:18.316119,37
2024/06/03/16:10:18.332564,37
2024/06/03/16:10:18.350207,37
2024/06/03/16:10:18.365434,37
2024/06/03/16:10:18.381183,37
2024/06/03/16:10:18.398371,37
2024/06/03/16:10:18.414261,37
2024/06/03/16:10:18.432328,37
2024/06/03/16:10:18.449447,37
2024/06/03/16:10:18.465167,37
2024/06/03/16:10:18.482113,37
2024/06/03/16:10:18.498986,37
2024/06/03/16:10:18.514252,37
2024/06/03/16:10:18.532836,37
2024/06/03/16:10:18.550352,37
2024/06/03/16:10:18.565772,37
2024/06/03/16:10:18.583243,37
2024/06/03/16:10:18.601612,37
2024/06/03/16:10:18.625013,37
2024/06/03/16:10:18.633891,37
2024/06/03/16:10:18.648166,37
2024/06/03/16:10:18.664927,37
2024/06/03/16:10:18.681251,37
2024/06/03/16:10:18.698980,37
2024/06/03/16:10:18.714234,37
2024/06/03/16:10:18.733506,37
2024/06/03/16:10:18.750881,37
2024/06/03/16:10:18.766340,37
2024/06/03/16:10:18.782944,37
2024/06/03/16:10:18.798915,37
2024/06/03/16:10:18.816030,37
2024/06/03/16:10:18.832392,37
2024/06/03/16:10:18.849037,37
2024/06/03/16:10:18.865179,37
2024/06/03/16:10:18.884233,37
2024/06/03/16:10:18.899445,37
2024/06/03/16:10:18.916020,37
2024/06/03/16:10:18.932202,37
2024/06/03/16:10:18.948141,37
2024/06/03/16:10:18.965780,37
2024/06/03/16:10:18.982336,37
2024/06/03/16:10:18.999974,37
2024/06/03/16:10:19.016672,37
2024/06/03/16:10:19.030640,37
2024/06/03/16:10:19.049953,37
2024/06/03/16:10:19.064748,37
2024/06/03/16:10:19.082925,37
2024/06/03/16:10:19.098485,37
2024/06/03/16:10:19.114805,37
